ID,date,time,latitude,longitude,altitude (m),speed (km/h),type
Roxy,15/07/19,9:26:00,-18.914633,48.428719,913.9,0.8,T
Roxy,15/07/19,10:09:00,-18.914633,48.428719,913.9,0.3,T
Roxy,15/07/19,10:21:00,-18.914747,48.428997,939.7,0.7,T
Roxy,16/07/19,9:38:00,-18.915071,48.429398,999.2,-,W
Roxy,16/07/19,11:06:00,-18.915985,48.430767,906.3,-,W
Roxy,16/07/19,9:13:00,-18.914604,48.428703,952.3,0.4,T
Roxy,16/07/19,9:35:00,-18.914974,48.429356,1008.7,0.9,T
Roxy,16/07/19,9:38:00,-18.915071,48.429398,999.2,0.8,T
Roxy,16/07/19,10:44:00,-18.915071,48.429398,999.2,0.8,T
Roxy,16/07/19,11:04:00,-18.915922,48.43087,925.8,2.1,T
Roxy,16/07/19,11:06:00,-18.915985,48.430767,906.3,1.4,T
Roxy,16/07/19,11:07:00,-18.915926,48.430843,884.6,0.8,T
Roxy,19/07/19,10:27:00,-18.914663,48.428905,885.2,-,W
Roxy,19/07/19,10:29:00,-18.914511,48.429157,949.8,-,W
Roxy,19/07/19,12:11:00,-18.914896,48.430489,934.5,-,W
Roxy,19/07/19,12:23:00,-18.916571,48.42981,950.4,-,W
Roxy,19/07/19,10:20:00,-18.914577,48.429043,922.9,1.7,T
Roxy,19/07/19,10:27:00,-18.914663,48.428905,885.2,9.4,T
Roxy,19/07/19,10:29:00,-18.914511,48.429157,949.8,1.4,T
Roxy,19/07/19,11:21:00,-18.914282,48.429092,919.7,5.9,T
Roxy,19/07/19,12:01:00,-18.914732,48.428978,926.8,0,T
Roxy,19/07/19,12:11:00,-18.914896,48.430489,934.5,1.4,T
Roxy,19/07/19,12:23:00,-18.916571,48.42981,950.4,0.2,T
Roxy,19/07/19,17:45:00,-18.916571,48.42981,950.4,0.2,T
Roxy,19/07/19,18:11:00,-18.921402,48.422333,938.6,1.8,T
Roxy,19/07/19,19:56:00,-18.919376,48.423813,925,0,T
Roxy,19/07/19,20:18:00,-18.919376,48.423813,925,0.6,T
Roxy,19/07/19,20:20:00,-18.919077,48.423874,913.6,0,T
Roxy,20/07/19,12:29:00,-18.921101,48.422863,984.9,-,W
Roxy,20/07/19,12:29:00,-18.920923,48.422993,991.5,-,W
Roxy,20/07/19,12:31:00,-18.920477,48.423203,961,-,W
Roxy,20/07/19,12:32:00,-18.920319,48.423325,967.7,-,W
Roxy,20/07/19,16:16:00,-18.921064,48.422546,1018.4,-,W
Roxy,20/07/19,3:15:00,-18.921513,48.422127,913.9,1.2,T
Roxy,20/07/19,5:36:00,-18.921513,48.422127,913.9,3.7,T
Roxy,20/07/19,5:47:00,-18.921522,48.42234,876.1,0.5,T
Roxy,20/07/19,10:40:00,-18.921131,48.422455,966.1,0,T
Roxy,20/07/19,11:01:00,-18.92127,48.422291,978.6,0,T
Roxy,20/07/19,11:22:00,-18.921196,48.422306,976.9,1.6,T
Roxy,20/07/19,11:43:00,-18.92127,48.422215,1025,0,T
Roxy,20/07/19,11:47:00,-18.92124,48.422379,975,5.6,T
