Identification,Animal,Name,Nbcollaringdays,Age,Sexe,Location,Data Tag,
AND2’Mbitrika,dog,Mbitrika,5,"2,5 years",Female,Andasifahatelo,Mbitrika,
AND4’Roxy,dog,Roxy,5,12 years,Male,Andasifahatelo,Roxy,
FAR4’Mbitsika,dog,Mbitsika,5,4-5 months,Female,Farahevitra,Mbitsika,
FAR5’Kelly,dog,Kelly,15,2 years,Male,Farahevitra,Kelly,
FAR3’Mboly,dog,Mboly,15,4-5 months,Female,Farahevitra,Mboly,
FAR6’Blacky,dog,Blacky,15,6 months,Male,Farahevitra,Blacky,
FAR7’Bobby,dog,Bobby,15,2 years,Female,Farahevitra,Bobby,
PK5-4’Fox,dog,Fox,20,1 year,Male,PK5-Mahatsara,Fox,
PK5-5’Kinga,dog,Kinga,10,1 year,Male,PK5-Mahatsara,Kinga,
PK5-8’Kolapoka,dog,Kolapoka,15,2 years,Female,PK5-Mahatsara,Kalopoka,
PK5-8’Merona,dog,Merona,15,2 years,Male,PK5-Mahatsara,Merona,
PK5-3’Poky,dog,Poky,10,4 years,Female,PK5-Mahatsara,Poky,
PK5-7’Ragarde,dog,Ragarde,20,4 years,Male,PK5-Mahatsara,Regarde,
PK5-6’Tsinafarana,dog,Tsinafarana,20,1 year,Male,PK5-Mahatsara,Tsinafarana,
PK7-1’Pistolet,dog,Pistolet,20,5 years,Male,PK7-Ambodilongotra,Pistolet,
VOI2’Bojira,dog,Bojira,15,10-11 years,Male,VOI-Mitsinjo,Bojira,
,,,,,,,,
