"","object_","ID","Houses","Name","x","y","centdist_m"
"1",1,1,4,"1",223778.12141318,7900102.06680737,6219.7505860605
"2",2,2,1,"2",227003.1234327,7900029.21035836,4457.95511427798
"3",3,3,6,"3",227722.6688174,7900123.82856777,4193.56097585031
"4",4,4,4,"4",228215.56527845,7901083.93736282,3183.52635158553
"5",5,5,16,"5",229050.9877349,7900267.02605182,4047.34504665534
"6",6,6,2,"6",230440.62849478,7900091.49934106,4642.09886645518
"7",7,7,2,"7",230997.44606606,7900177.67233705,4839.2223280366
"9",9,9,5,"9",239747.36209109,7900072.14799346,12094.3003441558
"10",10,10,5,"10",239547.19648662,7900273.28867019,11837.4500124784
"11",11,11,1,"11",227165.24117358,7900269.02178439,4180.12528820145
"12",12,12,1,"12",226388.92327814,7900288.21785873,4454.59564880719
"13",13,13,8,"13",223612.60160919,7900238.04299061,6255.44298665669
"14",14,14,2,"14",223242.63335913,7900235.24763674,6544.75352705825
"15",15,15,26,"15",220171.12661522,7901738.77456458,8608.94553788266
"16",16,16,32,"16",220176.77617634,7902339.06132789,8447.01131087214
"17",17,17,7,"17",220041.80566263,7903153.94057151,8433.30570154185
"18",18,18,6,"18",220015.52576917,7903366.86266919,8434.11055567715
"19",19,19,7,"19",220176.55192763,7906197.89223646,8450.18785249425
"20",20,20,11,"20",220205.42996349,7906443.25073952,8481.84031635069
"21",21,21,7,"21",220123.19024327,7909279.89743852,9680.80501258186
"22",22,22,7,"22",220050.83684416,7910454.98801217,10396.8758083545
"23",23,23,6,"23",220242.17094303,7912766.4860732,11785.9702022455
"24",24,24,13,"24",220143.89615524,7913376.51757736,12299.2158196712
"25",25,25,6,"25",220085.82309642,7913837.71448078,12682.7877893253
"26",26,26,12,"26",220113.20773048,7914533.57624587,13198.8391861551
"27",27,27,6,"27",220374.71231305,7914377.60678291,12913.6690446798
"28",28,28,33,"28",220331.41125827,7914064.09251511,12697.0634523466
"29",29,29,8,"29",220342.24268191,7913724.34922043,12429.6315631586
"30",30,30,14,"30",220377.52678333,7913616.8006234,12324.9529454932
"31",31,31,6,"31",220478.12226367,7910205.16916889,9905.00369259681
"32",32,32,3,"32",220172.73378116,7902604.52634494,8394.52449027096
"33",33,33,3,"33",220051.7089212,7902806.27887718,8476.23059432144
"34",34,34,6,"34",220005.29367796,7907461.84888068,8985.7503814527
"35",35,35,5,"35",220069.08306198,7914141.35807031,12924.3653839306
"36",36,36,9,"36",220386.10810132,7909164.36806748,9396.15536271982
"37",37,37,6,"37",220383.4738111,7907080.23309004,8499.36468166139
"38",38,38,5,"38",220419.87234457,7906748.59560748,8360.47364822828
"39",39,39,10,"39",220620.81853126,7904516.84253882,7785.35354168677
"40",40,40,1,"40",220292.59898487,7902513.44893484,8295.7709498071
"41",41,41,4,"41",220421.54006068,7902280.83111742,8222.69852204206
"42",42,42,1,"42",220382.18187712,7900936.08061215,8682.1208525654
"43",43,43,1,"43",220497.73857964,7900168.50948864,8901.34895215231
"44",44,44,4,"44",220710.22788874,7900572.74379001,8530.76606141014
"45",45,45,16,"45",220789.93259358,7901095.32467115,8244.47711126837
"46",46,46,3,"46",220709.5409754,7901628.41120653,8130.78814004143
"47",47,47,3,"47",220606.20077658,7902845.3736562,7923.46614366613
"48",48,48,2,"48",220660.50919039,7903606.36599976,7769.20432847191
"49",49,49,5,"49",220695.22773743,7903797.63060514,7720.74981086691
"50",50,50,6,"50",220561.69678443,7904234.87270658,7840.35014537778
